# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5e6ebf4e70
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200f3794bcf9720,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.74,23.52,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,450,8403308,7012,8403104,0,256,32,1024,0,112255583,4827590,386688,53391,14336,87392,0,0,268899328,283759,99177
1200f3794cbc7740,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8420.26,26.24,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458757,1799,4,0,0,0,480,8403327,6976,8403104,0,256,825,26104,0,112297490,4826452,387448,45849,14336,135648,0,0,268899328,412856,151685
1200f3794d779be0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.06,22.44,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403322,6944,8403104,0,256,865,27084,0,112194532,4826723,387584,36586,14336,129239,2668,0,268899328,400078,143914
1200f3794e3024a0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.74,23.08,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,416,8403322,6944,8403104,0,256,32,1024,0,112284920,4826406,387548,0,14336,91841,0,0,268899328,309592,103149
1200f3794ee9eb00,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.02,24.24,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,420,8403322,6944,8403104,0,256,32,1024,0,112277181,4826324,387032,0,14336,64251,0,0,268899328,232095,72844
1200f3794f9cb6c0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8419.2,23.68,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,448,8403312,7008,8427343,0,256,32,1024,0,112233857,4824708,387336,27122,14336,36385,0,0,268914944,155774,42318
1200f379505434a0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.95,23.24,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,416,8403324,7008,8403104,0,256,32,1024,0,112149762,4827112,386784,27122,14336,36394,0,0,268899328,154595,42267
1200f379510b1ec0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.22,22.88,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,512,8403330,7036,8403104,0,256,32,1024,0,112119469,4828713,386592,48839,14336,36400,0,0,268986809,138978,43491
1200f37951c3eb60,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.92,23,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8408688,7008,8403104,0,256,32,1024,0,112301913,4825661,386744,48839,14336,103012,0,0,268899328,342276,115774
1200f3795279d180,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8418.21,21.96,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,448,8403309,6948,8403104,0,256,32,1024,0,112261325,4826888,387044,21798,14336,63494,0,0,268987206,233336,72038
1200f3795331cfe0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8417.95,23.96,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,480,8403314,7008,8403104,0,256,32,1024,0,112240362,4826757,386944,0,14336,124197,0,0,268899328,387917,138886
1200f37953f19720,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8416.1,21,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,454,8403293,6978,8403104,0,256,32,1024,0,112245472,4827876,386488,0,14336,98607,0,0,268899328,309397,111796
1200f37954b4ede0,_Z15integrateBodiesIfLb0EEvPN4vec4IT_E4TypeES4_S4_ffi,8420.58,22.4,0.667,56,1,1,256,1,1,4096,0,30,0,-1,,0,0,0,831488,0,0,0,0,28672,0,0,1856,64,458752,1792,4,0,0,0,416,8403314,6976,8403104,0,256,318,10024,0,112323439,4826237,386360,27122,14336,110034,0,0,268899328,358740,122859
