# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5f7b605e78
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200c1afaa137660,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.928,5.52,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,128,184320,11520,18,0,5848,0,0,0,0,0,337288,0,326128,0,272,136,4352,10880,10507525,237524,0,594312,7680,102461,12729,87040,44860,10743040,213920,17592
1200c1afaa1a2880,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1578.37,5.44,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,14080,11040,0,1440,245760,15360,4,10785,1376,435,32,0,8800,0,1246330,0,1229376,0,2304,32,1024,15360,13146774,903780,26112,920072,88144,312591,88671,153600,61440,39340032,614497,106439
1200c1afaa324540,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.448,5.6,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,184320,11520,18,0,5848,0,0,0,0,0,357120,0,345312,0,288,144,4608,11520,10494342,237164,0,595538,7680,101850,13277,87040,42496,9822208,221164,17883
1200c1afaa38f580,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1578.98,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10796,1376,474,32,0,8800,0,1246316,0,1229376,0,2304,32,1024,15360,10672349,715873,26492,920092,88560,313140,93355,122880,61440,39340032,622597,111968
1200c1afaa5114c0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.96,5.52,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,136,184320,11520,18,0,6192,0,0,0,0,0,357120,0,326128,0,272,128,4096,10240,10528115,223850,0,593920,7680,102653,7918,81920,42280,10436096,202758,11726
1200c1afaa57c6e0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1579.2,6.84,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245765,15367,4,11074,1376,453,32,0,10992,0,1246369,0,1536720,0,2880,32,1024,15360,10752338,716758,27024,920064,88216,312533,96834,122880,76800,39340032,679935,115178
1200c1afaa6fe700,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,436.864,5.64,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,128,174080,10880,17,0,6192,0,0,0,0,0,357120,0,306944,0,256,128,4096,10240,11757319,236769,0,594000,7680,102643,7909,87040,40464,10743040,206146,11682
1200c1afaa7698e0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1581.63,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,11264,8832,0,1152,245760,15360,4,10745,1376,490,32,0,8800,0,1246361,0,1229376,0,2304,32,1024,15360,10674549,909782,26800,920098,88388,311764,89520,153600,61440,39340032,615840,107451
1200c1afaa8ec280,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,437.344,5.64,1,4,60,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,61440,0,0,0,0,0,128,163840,10240,16,0,5848,0,0,0,0,0,337288,0,306944,0,256,144,4608,11520,10503773,236986,0,594812,7680,112913,18933,87040,42396,10129152,229742,24270
1200c1afaa957660,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,1578.98,5.52,0.333,6,10,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,552960,0,0,14080,11040,0,1440,245760,15360,4,10790,1376,506,32,0,8800,0,1246292,0,1229376,0,2304,32,1024,15360,10767871,906107,27016,920064,88012,317224,89262,153600,61440,39340032,613544,107152
