# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200ac5e7879ab70
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
1200f1ae8bf19fa0,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.74,5.48,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,458752,28672,28,0,14472,0,0,0,0,0,851832,0,854336,0,448,216,6912,27648,28333941,620295,0,1542560,12288,260841,12733,229376,111940,26362368,522421,18584
1200f1ae8c0230c0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5901.22,5.4,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,48019,5896,2136,144,0,38928,0,5478608,0,5406192,0,6336,88,2816,67584,47933595,3082042,121756,3930728,266548,1399763,269252,540672,270336,172998144,2756189,313358
1200f1ae8c5c4400,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.3,5.52,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,15008,0,0,0,0,0,883376,0,854336,0,448,224,7168,28672,25983183,601845,0,1543654,12288,260766,12735,221184,108092,26362368,520394,18650
1200f1ae8c6cd340,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5894.82,5.52,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47961,5896,2168,144,0,42464,0,5478303,0,5406192,0,6336,88,2816,67584,48014528,3081410,121396,3930716,268308,1410280,267064,540672,270336,172998144,2757262,310698
1200f1ae8cc6cd80,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1083.49,5.48,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,15008,0,0,0,0,0,883376,0,854336,0,448,216,6912,27648,28268292,601099,0,1536820,12288,284292,12652,221184,108760,26850560,522285,18487
1200f1ae8cd75d80,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5904.45,7.16,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47879,5896,1870,144,0,38928,0,5478399,0,5406192,0,6336,88,2816,67584,47968530,3089247,120856,3930872,267800,1564042,267366,540672,270336,180861696,2756838,312293
1200f1ae8d317d60,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1122.53,5.64,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,224,442368,27648,27,0,14472,0,0,0,0,0,851832,0,823824,0,432,224,7168,28672,27279193,641693,0,1537272,12288,260834,12740,229376,112728,26362368,522479,18671
1200f1ae8d42a5c0,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5906.34,5.48,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1179648,73728,12,52222,5896,2042,144,0,38928,0,5478382,0,5406192,0,6336,88,2816,67584,47894144,3080611,124912,3930816,268156,1399726,333434,540672,270336,172998144,2834094,401381
1200f1ae8d9ccd20,_Z22gemm_kernel1x1_tex_valIfLb1ELb0ELb0ELb0ELb0EEvPT_iiiiiiiiS0_S0_,1084.48,5.52,1,4,96,1,16,16,1,0,2176,17,0,-1,,0,0,0,0,0,0,98304,0,0,0,0,0,216,442368,27648,27,0,14472,0,0,0,0,0,851832,0,823824,0,432,224,7168,28672,27358808,601182,0,1545146,12288,261250,22390,221184,108020,26850560,550504,29549
1200f1ae8dad6120,_Z24fermiSgemm_v2_kernel_valILb1ELb0ELb0EEvPfPKfS2_iiiiiiffii,5907.3,5.44,0.333,10,16,1,64,4,1,0,12736,63,0,-1,,0,0,0,0,0,0,1474560,0,0,49984,39072,0,3168,1081344,67584,11,47909,6432,2268,160,0,38928,0,5478389,0,5406192,0,6336,88,2816,67584,47935306,3380480,124020,3930784,267708,1400598,268700,589824,270336,172998144,2761917,313073
