# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 1200fce6996df538
# CUDA_DEVICE 0 Tesla C2050
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,gld_inst_32bit,gld_inst_64bit,gld_inst_128bit,gst_inst_8bit,gst_inst_16bit,gst_inst_32bit,gst_inst_64bit,gst_inst_128bit,local_load,local_store,gld_request,gst_request,shared_load,shared_store,sm_cta_launched,l1_local_load_hit,branch,l1_local_load_miss,l1_local_store_hit,divergent_branch,l1_local_store_miss,l1_global_load_hit,inst_issued,l1_global_load_miss,inst_executed,uncached_global_load_transaction,global_store_transaction,warps_launched,threads_launched,l1_shared_bank_conflict,active_warps,active_cycles,l2 read requests,l2 read texture requests,l2 write requests,l2 read misses,l2 write misses,tex cache requests,tex cache misses,threads instruction executed,dram reads,dram writes
120108f526ffea00,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.66,4.04,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045183,4627898,128,0,128,48905,142,0,0,110739005,82413,182
120108f5277b0420,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.73,4,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045245,4627892,128,0,128,51934,141,0,0,110739005,85917,180
120108f527f61e80,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.08,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045151,4627896,128,0,128,49628,142,0,0,110739005,77111,182
120108f5287138e0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,3.96,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045151,4627898,128,0,128,49899,142,0,0,110739005,85677,182
120108f528ec5340,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.66,4.04,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045055,4627882,128,0,128,49472,141,0,0,110739005,81810,180
120108f529676d60,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.47,4,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045215,4627896,128,0,128,49440,142,0,0,110739005,77068,182
120108f529e286c0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.73,5.8,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045309,4627896,128,0,128,52004,141,0,0,110739005,85910,180
120108f52a5da120,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,4.04,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74044831,4627902,128,0,128,64880,4954,0,0,110739005,88913,6103
120108f52ad8bbc0,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8065.7,50.32,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641947,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74044925,4627898,128,7227,128,78736,16368,0,0,110739005,120196,19707
120108f52b53ed20,_Z12bisectKernelPfS_jS_S_PjS0_ffjjf,8067.87,5.68,0.333,1,1,1,512,1,1,0,10260,26,0,-1,,0,0,0,0,0,0,1024,0,0,0,0,832,32,255742,5752,1,0,641772,0,0,702,0,800,4848582,32,4844278,0,32,16,512,4254,74045085,4627882,128,8449,128,81329,16000,184,0,110739005,109819,19057
