col	row	isTF	isLib	isDud	isAmbg	nCall	cf	ie	dr	keySNR	keySD	keySig	oneSig	zeroSig	ppf	medAbsRes	multiplier
12	0	0	1	0	0	122	0.0120	0.0088	0.00023	20.594	0.050	1.037	1.038	0.001	0.417	0.021	0.302
20	1	0	1	0	0	112	0.0120	0.0088	0.00023	11.852	0.084	1.001	1.002	0.001	0.467	0.047	0.034
11	1	0	1	0	0	126	0.0120	0.0088	0.00023	18.149	0.052	0.942	0.943	0.001	0.450	0.033	0.128
29	1	0	1	0	0	116	0.0120	0.0088	0.00023	17.415	0.056	0.978	0.979	0.001	0.483	0.047	0.022
21	1	0	1	0	0	123	0.0120	0.0088	0.00023	34.970	0.028	0.982	0.983	0.001	0.433	0.039	0.032
30	1	0	1	0	0	111	0.0120	0.0088	0.00023	7.126	0.126	0.899	0.900	0.001	0.383	0.073	0.037
35	1	0	1	0	0	112	0.0120	0.0088	0.00023	9.014	0.127	1.142	1.168	0.027	0.467	0.080	0.018
40	1	0	1	0	0	104	0.0120	0.0088	0.00023	11.744	0.088	1.030	1.031	0.001	0.383	0.044	0.016
28	0	0	1	0	0	149	0.0120	0.0088	0.00023	4.584	0.177	0.810	0.900	0.090	0.417	0.067	0.498
26	1	0	1	0	0	127	0.0120	0.0088	0.00023	40.307	0.026	1.056	1.057	0.001	0.467	0.030	0.007
44	1	0	1	0	0	119	0.0120	0.0088	0.00023	38.504	0.026	1.017	1.018	0.001	0.467	0.053	0.017
20	0	0	1	0	0	124	0.0120	0.0088	0.00023	20.044	0.056	1.117	1.118	0.001	0.450	0.161	0.266
45	1	0	1	0	0	117	0.0120	0.0088	0.00023	33.169	0.031	1.026	1.027	0.001	0.400	0.032	0.008
49	1	0	1	0	0	134	0.0120	0.0088	0.00023	12.536	0.079	0.995	0.996	0.001	0.467	0.051	0.014
2	2	0	1	0	0	112	0.0120	0.0088	0.00023	8.353	0.116	0.971	0.972	0.001	0.383	0.032	0.009
3	2	0	1	0	0	120	0.0120	0.0088	0.00023	23.552	0.044	1.030	1.031	0.001	0.450	0.037	0.012
39	0	0	1	0	0	108	0.0120	0.0088	0.00023	31.865	0.028	0.890	0.891	0.001	0.400	0.197	0.082
28	1	0	1	0	0	128	0.0120	0.0088	0.00023	17.095	0.060	1.022	1.023	0.001	0.350	0.081	0.032
48	1	0	1	0	0	130	0.0120	0.0088	0.00023	17.296	0.060	1.040	1.046	0.006	0.450	0.060	0.109
6	2	0	1	0	0	115	0.0120	0.0088	0.00023	15.712	0.063	0.986	0.996	0.011	0.400	0.040	0.152
8	2	0	1	0	0	112	0.0120	0.0088	0.00023	10.428	0.092	0.965	0.970	0.005	0.433	0.031	0.005
31	1	0	1	0	0	149	0.0120	0.0088	0.00023	19.953	0.055	1.093	1.109	0.016	0.517	0.121	0.014
43	1	0	1	0	0	115	0.0120	0.0088	0.00023	32.304	0.027	0.856	0.857	0.001	0.417	0.025	0.007
12	2	0	1	0	0	111	0.0120	0.0088	0.00023	21.832	0.046	1.002	1.003	0.001	0.400	0.027	0.002
7	2	0	1	0	0	113	0.0120	0.0088	0.00023	11.526	0.086	0.990	1.003	0.013	0.383	0.029	0.002
36	1	0	1	0	0	148	0.0120	0.0088	0.00023	6.285	0.144	0.907	0.908	0.001	0.400	0.038	0.088
5	2	0	1	0	0	133	0.0120	0.0088	0.00023	13.213	0.077	1.019	1.021	0.001	0.433	0.083	0.007
14	2	0	1	0	0	121	0.0120	0.0088	0.00023	17.492	0.054	0.949	0.955	0.006	0.483	0.043	0.004
15	2	0	1	0	0	110	0.0120	0.0088	0.00023	8.787	0.106	0.932	0.933	0.001	0.400	0.041	0.005
20	2	0	1	0	0	111	0.0120	0.0088	0.00023	16.126	0.062	1.005	1.024	0.018	0.383	0.025	0.031
16	2	0	1	0	0	127	0.0120	0.0088	0.00023	20.686	0.052	1.080	1.081	0.001	0.383	0.088	0.024
23	2	0	1	0	0	111	0.0120	0.0088	0.00023	38.582	0.025	0.966	0.967	0.001	0.450	0.029	0.002
21	2	0	1	0	0	121	0.0120	0.0088	0.00023	12.749	0.071	0.904	0.905	0.001	0.450	0.048	0.048
4	2	0	1	0	0	113	0.0120	0.0088	0.00023	16.665	0.053	0.885	0.912	0.027	0.450	0.046	0.006
25	2	0	1	0	0	108	0.0120	0.0088	0.00023	10.567	0.096	1.019	1.020	0.001	0.383	0.023	0.003
13	1	0	1	0	0	135	0.0120	0.0088	0.00023	13.733	0.076	1.038	1.047	0.009	0.517	0.126	0.030
27	2	0	1	0	0	109	0.0120	0.0088	0.00023	11.588	0.079	0.913	0.914	0.001	0.483	0.027	0.001
17	2	0	1	0	0	135	0.0120	0.0088	0.00023	15.073	0.063	0.956	0.998	0.042	0.517	0.061	0.012
26	2	0	1	0	0	129	0.0120	0.0088	0.00023	30.085	0.035	1.059	1.060	0.001	0.467	0.031	0.001
13	2	0	1	0	0	119	0.0120	0.0088	0.00023	13.369	0.062	0.825	0.833	0.008	0.417	0.074	0.006
29	2	0	1	0	0	115	0.0120	0.0088	0.00023	23.906	0.041	0.983	0.984	0.001	0.483	0.035	0.002
36	2	0	1	0	0	113	0.0120	0.0088	0.00023	70.739	0.014	1.000	1.001	0.001	0.400	0.027	0.016
32	2	0	1	0	0	111	0.0120	0.0088	0.00023	11.554	0.077	0.885	0.902	0.016	0.417	0.039	0.012
24	2	0	1	0	0	131	0.0120	0.0088	0.00023	26.851	0.036	0.973	1.019	0.046	0.433	0.049	0.005
40	2	0	1	0	0	105	0.0120	0.0088	0.00023	20.833	0.046	0.954	0.955	0.001	0.333	0.032	0.007
41	2	0	1	0	0	116	0.0120	0.0088	0.00023	17.273	0.054	0.928	0.929	0.001	0.483	0.026	0.000
43	2	0	1	0	0	110	0.0120	0.0088	0.00023	14.117	0.075	1.054	1.062	0.008	0.350	0.072	0.000
34	2	0	1	0	0	131	0.0120	0.0088	0.00023	16.482	0.060	0.982	0.983	0.001	0.433	0.051	0.001
47	2	0	1	0	0	115	0.0120	0.0088	0.00023	12.156	0.080	0.971	0.972	0.001	0.400	0.032	0.005
48	2	0	1	0	0	121	0.0120	0.0088	0.00023	17.970	0.056	1.009	1.013	0.004	0.417	0.052	0.004
1	3	0	1	0	0	99	0.0120	0.0088	0.00023	11.978	0.072	0.865	0.876	0.012	0.367	0.033	0.002
3	3	0	1	0	0	109	0.0120	0.0088	0.00023	11.942	0.079	0.944	0.945	0.001	0.433	0.041	0.000
28	2	0	1	0	0	127	0.0120	0.0088	0.00023	5.000	0.199	0.995	0.996	0.001	0.433	0.109	0.058
30	2	0	1	0	0	139	0.0120	0.0088	0.00023	69.493	0.016	1.105	1.106	0.001	0.550	0.129	0.001
2	3	0	1	0	0	115	0.0120	0.0088	0.00023	32.737	0.032	1.038	1.039	0.001	0.450	0.048	0.000
33	2	0	1	0	0	120	0.0120	0.0088	0.00023	9.786	0.100	0.978	1.008	0.030	0.367	0.044	0.008
46	2	0	1	0	0	128	0.0120	0.0088	0.00023	16.807	0.058	0.980	0.993	0.014	0.517	0.071	0.001
42	2	0	1	0	0	127	0.0120	0.0088	0.00023	14.626	0.079	1.161	1.163	0.001	0.483	0.121	0.005
5	3	0	1	0	0	113	0.0120	0.0088	0.00023	9.924	0.102	1.015	1.026	0.011	0.400	0.085	0.003
7	3	0	1	0	0	109	0.0120	0.0088	0.00023	12.338	0.078	0.961	0.962	0.001	0.417	0.039	0.001
49	2	0	1	0	0	146	0.0120	0.0088	0.00023	3.337	0.278	0.926	0.928	0.001	0.450	0.092	0.004
37	2	0	1	0	0	135	0.0120	0.0088	0.00023	19.981	0.045	0.904	0.905	0.001	0.400	0.039	0.003
42	1	0	1	0	0	119	0.0120	0.0088	0.00023	27.415	0.027	0.741	0.742	0.001	0.450	0.144	0.032
6	3	0	1	0	0	124	0.0120	0.0088	0.00023	20.728	0.045	0.936	0.937	0.001	0.467	0.021	0.001
31	2	0	1	0	0	140	0.0120	0.0088	0.00023	46.546	0.022	1.010	1.011	0.001	0.483	0.113	0.001
15	3	0	1	0	0	120	0.0120	0.0088	0.00023	25.218	0.038	0.966	0.967	0.001	0.433	0.040	0.003
