col	row	region_id	res_old	res_new	ppf	ppf2	ssq	cf	ie	dr	used_in_est	clonal
15	0	0	0.0184	0.0837	0.4062	0.5833	3.0835	0.0141	0.0109	0.0002	1	1
7	2	0	0.0010	0.0104	0.3750	0.3667	0.3337	0.0089	0.0026	0.0002	1	1
14	2	0	0.0039	0.0521	0.4688	0.4667	0.5676	0.0000	0.0111	0.0002	0	1
12	2	0	0.0028	0.0139	0.2812	0.4500	1.2703	0.0049	0.0116	0.0002	1	1
1	2	0	0.0359	0.1199	0.4375	0.6167	3.8940	0.0133	0.0182	0.0002	1	1
11	2	0	0.0502	0.2404	0.5938	0.9167	6.0938	0.0300	0.0300	0.0002	0	1
8	2	0	0.0036	0.0368	0.4062	0.5000	0.6730	0.0163	0.0054	0.0002	1	1
23	2	0	0.0024	0.0404	0.4375	0.4500	0.3118	0.0009	0.0074	0.0002	1	1
22	1	0	0.0048	0.0335	0.3750	0.3667	0.6938	0.0000	0.0039	0.0002	0	1
13	1	0	0.0351	0.1279	0.5312	0.6833	4.8427	0.0000	0.0185	0.0002	0	1
17	2	0	0.0042	0.0548	0.4688	0.6667	2.2201	0.0078	0.0179	0.0002	1	1
16	2	0	0.0077	0.0861	0.3750	0.5000	2.3388	0.0168	0.0131	0.0002	1	1
29	2	0	0.0014	0.0508	0.4688	0.5833	1.5087	0.0000	0.0089	0.0002	0	1
27	2	0	0.0039	0.0297	0.5625	0.5667	1.5133	0.0040	0.0091	0.0002	1	1
36	0	0	0.0063	0.0486	0.5000	0.5167	1.0778	0.0163	0.0016	0.0002	1	1
32	2	0	0.0042	0.0391	0.4375	0.4833	1.3116	0.0109	0.0084	0.0002	1	1
14	1	0	0.0050	0.0309	0.4062	0.4833	0.5708	0.0037	0.0047	0.0002	1	1
34	2	0	0.0022	0.0425	0.3438	0.4667	0.8429	0.0091	0.0041	0.0002	1	1
33	2	0	0.0015	0.0337	0.3438	0.3333	0.6571	0.0095	0.0085	0.0002	1	1
